,src,dst,time,ext_roll
7579,29,9,1156,0
7580,29,20,1156,0
7581,10,5,1156,0
7582,10,6,1156,0
7583,10,8,1156,0
7584,10,9,1156,0
7585,10,20,1156,0
7586,6,28,1163,0
7587,10,28,1163,0
7588,28,4,1167,0
7589,4,27,1168,0
7590,4,2,1168,0
7591,4,3,1168,0
7592,4,21,1168,0
7593,27,29,1169,0
7594,27,10,1169,0
7595,27,11,1169,0
7596,2,29,1169,0
7597,2,10,1169,0
7598,2,11,1169,0
7599,3,29,1169,0
7600,3,10,1169,0
7601,3,11,1169,0
7602,4,29,1169,0
7603,4,10,1169,0
7604,4,11,1169,0
7605,21,29,1169,0
7606,21,10,1169,0
7607,21,11,1169,0
7608,29,10,1170,0
7609,29,12,1170,0
7610,10,12,1170,0
7611,11,10,1170,0
7612,11,12,1170,0
7613,23,29,1174,0
7614,23,5,1174,0
7615,23,6,1174,0
7616,23,15,1174,0
7617,17,29,1174,0
7618,17,5,1174,0
7619,17,6,1174,0
7620,17,15,1174,0
7621,29,28,1175,0
7622,29,12,1175,0
7623,5,28,1175,0
7624,5,12,1175,0
7625,6,28,1175,0
7626,6,12,1175,0
7627,15,28,1175,0
7628,15,12,1175,0
7629,28,11,1176,0
7630,28,18,1176,0
7631,12,28,1176,0
7632,12,11,1176,0
7633,12,18,1176,0
7634,11,28,1177,0
7635,18,28,1177,0
7636,29,4,1181,0
7637,29,15,1181,0
7638,29,16,1181,0
7639,12,4,1181,0
7640,12,15,1181,0
7641,12,16,1181,0
7642,4,10,1182,0
7643,4,12,1182,0
7644,15,10,1182,0
7645,15,12,1182,0
7646,16,10,1182,0
7647,16,12,1182,0
7648,10,28,1183,0
7649,10,1,1183,0
7650,10,3,1183,0
7651,10,4,1183,0
7652,10,5,1183,0
7653,10,6,1183,0
7654,10,11,1183,0
7655,10,17,1183,0
7656,10,21,1183,0
7657,12,28,1183,0
7658,12,1,1183,0
7659,12,3,1183,0
7660,12,4,1183,0
7661,12,5,1183,0
7662,12,6,1183,0
7663,12,11,1183,0
7664,12,17,1183,0
7665,12,21,1183,0
7666,28,25,1184,0
7667,28,27,1184,0
7668,28,4,1184,0
7669,28,10,1184,0
7670,28,12,1184,0
7671,28,16,1184,0
7672,1,25,1184,0
7673,1,27,1184,0
7674,1,4,1184,0
7675,1,10,1184,0
7676,1,12,1184,0
7677,1,16,1184,0
7678,3,25,1184,0
7679,3,27,1184,0
7680,3,4,1184,0
7681,3,10,1184,0
7682,3,12,1184,0
7683,3,16,1184,0
7684,4,25,1184,0
7685,4,27,1184,0
7686,4,10,1184,0
7687,4,12,1184,0
7688,4,16,1184,0
7689,5,25,1184,0
7690,5,27,1184,0
7691,5,4,1184,0
7692,5,10,1184,0
7693,5,12,1184,0
7694,5,16,1184,0
7695,6,25,1184,0
7696,6,27,1184,0
7697,6,4,1184,0
7698,6,10,1184,0
7699,6,12,1184,0
7700,6,16,1184,0
7701,11,25,1184,0
7702,11,27,1184,0
7703,11,4,1184,0
7704,11,10,1184,0
7705,11,12,1184,0
7706,11,16,1184,0
7707,17,25,1184,0
7708,17,27,1184,0
7709,17,4,1184,0
7710,17,10,1184,0
7711,17,12,1184,0
7712,17,16,1184,0
7713,21,25,1184,0
7714,21,27,1184,0
7715,21,4,1184,0
7716,21,10,1184,0
7717,21,12,1184,0
7718,21,16,1184,0
7719,13,3,1190,0
7720,13,4,1190,0
7721,13,5,1190,0
7722,13,14,1190,0
7723,13,15,1190,0
7724,13,16,1190,0
7725,13,17,1190,0
7726,17,3,1190,0
7727,17,4,1190,0
7728,17,5,1190,0
7729,17,14,1190,0
7730,17,15,1190,0
7731,17,16,1190,0
7732,23,26,1195,0
7733,23,28,1195,0
7734,23,4,1195,0
7735,23,6,1195,0
7736,23,8,1195,0
7737,23,11,1195,0
7738,23,12,1195,0
7739,23,15,1195,0
7740,23,16,1195,0
7741,23,17,1195,0
7742,23,20,1195,0
7743,27,26,1195,0
7744,27,28,1195,0
7745,27,4,1195,0
7746,27,6,1195,0
7747,27,8,1195,0
7748,27,11,1195,0
7749,27,12,1195,0
7750,27,15,1195,0
7751,27,16,1195,0
7752,27,17,1195,0
7753,27,20,1195,0
7754,10,26,1195,0
7755,10,28,1195,0
7756,10,4,1195,0
7757,10,6,1195,0
7758,10,8,1195,0
7759,10,11,1195,0
7760,10,12,1195,0
7761,10,15,1195,0
7762,10,16,1195,0
7763,10,17,1195,0
